year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
2033,,-9.333333333333314,-2.3333333333333144,-9.0,14.0,-14.0,-6.0,1.0,0.3333333333333144,11.0,-5.0,11.0,5.0,-2.0,-5.0,-17.333333333333314,5.0,7.666666666666686,-11.0,1.0,-7.666666666666686,-6.0,-7.166666666666686,8.0,4.0,16.333333333333314
2034,,3.0,-3.1666666666666856,-11.0,-5.0,5.0,-14.0,-14.0,-10.333333333333314,10.5,-12.0,-6.0,-1.0,11.666666666666686,3.0,10.333333333333314,2.0,-2.3333333333333144,12.833333333333314,0.0,-2.1666666666666856,-12.0,-3.1666666666666856,-7.0,1.0,-10.833333333333314
2035,,13.0,-6.0,-1.0,-7.0,-1.0,6.666666666666686,-3.3333333333333144,4.333333333333314,-1.0,-1.0,6.0,3.1666666666666856,-8.0,3.0,-2.5,1.8333333333333144,5.5,13.0,-12.0,-12.0,-10.0,4.0,8.0,12.0,7.0
2036,,0.0,0.0,-12.0,-1.0,8.0,2.0,-13.0,1.6666666666666856,3.5,-1.0,-1.0,-5.166666666666686,10.0,-10.0,-12.833333333333314,7.0,12.5,0.0,5.0,-8.0,-14.0,-9.0,0.0,10.0,2.0
2037,,-3.0,5.0,-11.5,1.5,10.0,-19.0,-7.166666666666686,-0.8333333333333144,-8.0,-9.5,3.0,-9.0,9.0,-9.0,8.0,-7.166666666666686,-8.5,-4.5,8.0,-16.0,5.666666666666686,6.833333333333314,5.5,7.0,-14.0
2038,,0.6666666666666856,-9.5,8.0,-5.166666666666686,-3.5,-9.0,7.166666666666686,-2.0,-1.0,0.0,-17.5,-7.0,3.0,12.0,-15.0,-13.666666666666686,7.333333333333314,-10.5,6.0,2.3333333333333144,-17.0,-12.333333333333314,-13.333333333333314,5.166666666666686,13.0
2039,,-2.1666666666666856,-1.0,-14.166666666666686,14.833333333333314,-1.0,0.0,-0.16666666666668561,-10.5,-1.0,-1.0,6.0,-2.0,-12.0,6.0,-2.0,-2.0,1.0,-8.166666666666686,3.0,1.0,5.0,-3.0,1.0,-15.0,-1.0
2040,,-6.0,-5.0,-4.0,3.0,4.0,-12.0,2.8333333333333144,-4.833333333333314,-1.0,-7.0,-5.666666666666686,-7.0,0.0,5.0,3.6666666666666856,1.0,-3.0,11.0,2.8333333333333144,-5.166666666666686,10.0,-16.5,-22.5,-4.0,-9.0
2041,,-8.166666666666686,-0.6666666666666856,0.0,5.0,6.666666666666686,5.0,-12.666666666666686,-12.0,1.0,-7.0,5.0,-17.333333333333314,1.8333333333333144,-4.833333333333314,7.0,-2.0,-8.666666666666686,7.0,-2.0,6.166666666666686,-6.0,-2.0,-6.0,0.0,-5.333333333333314
2042,,-3.0,-2.3333333333333144,0.0,12.0,-8.0,3.1666666666666856,-3.0,-13.0,7.166666666666686,-2.3333333333333144,-11.0,2.8333333333333144,6.5,-6.0,-10.666666666666686,2.0,-5.166666666666686,-1.0,-4.0,8.666666666666686,-4.0,9.0,7.5,10.333333333333314,12.0
2043,,-11.0,2.1666666666666856,1.0,10.0,-5.666666666666686,-23.0,-1.0,-10.0,5.0,15.0,1.0,-3.0,-1.0,14.333333333333314,10.0,-7.5,-29.0,-4.0,4.666666666666686,-5.0,13.0,-24.666666666666686,14.0,-19.0,11.0
2044,,-5.0,-4.166666666666686,-3.1666666666666856,8.0,-1.0,-7.0,0.0,7.0,8.0,-1.0,-5.166666666666686,-7.0,0.0,-1.0,-6.333333333333314,1.5,7.333333333333314,0.5,9.666666666666686,-13.166666666666686,4.666666666666686,-6.0,-7.666666666666686,17.666666666666686,6.0
2045,,-13.0,-7.0,-7.166666666666686,-10.333333333333314,-5.0,-4.0,-9.0,0.0,-9.333333333333314,2.5,-5.0,-3.6666666666666856,-6.833333333333314,-6.333333333333314,0.0,-0.3333333333333144,0.0,7.333333333333314,9.833333333333314,-5.0,-1.6666666666666856,-18.0,-13.0,18.0,-6.0
2046,,1.0,-7.0,4.0,2.0,-3.0,6.166666666666686,12.0,8.0,4.666666666666686,3.1666666666666856,-5.833333333333314,-12.0,-4.166666666666686,9.0,12.333333333333314,3.0,-12.666666666666686,5.0,7.0,-5.0,-2.8333333333333144,-19.0,2.5,3.0,4.833333333333314
2047,,-6.0,-3.0,-6.0,5.666666666666686,-4.833333333333314,1.0,-3.0,-5.0,10.833333333333314,9.0,-0.16666666666668561,15.0,-1.6666666666666856,-1.0,1.6666666666666856,4.0,-7.166666666666686,2.1666666666666856,15.0,0.6666666666666856,5.666666666666686,4.0,-4.0,-6.166666666666686,3.0
2048,,-8.0,-9.166666666666686,-6.833333333333314,3.0,1.0,-11.0,-9.0,3.0,-3.0,-13.666666666666686,-7.0,-3.8333333333333144,-7.833333333333314,1.5,7.0,-9.0,-1.1666666666666856,13.0,4.0,-10.0,-6.166666666666686,11.0,0.0,6.666666666666686,-5.833333333333314
2049,,5.5,2.5,-11.0,-27.0,-6.0,0.6666666666666856,3.5,2.0,-1.0,0.0,-3.0,8.0,0.0,1.0,-12.166666666666686,-5.333333333333314,-6.5,-1.5,0.0,0.0,12.666666666666686,-2.0,-13.833333333333314,9.0,1.8333333333333144
2050,,3.0,-1.0,2.0,-5.0,7.0,-6.5,6.0,-12.666666666666686,1.8333333333333144,4.0,-6.833333333333314,-13.166666666666686,-4.0,6.0,-2.0,8.0,-2.0,-2.1666666666666856,-2.0,7.0,-12.0,9.0,-10.0,2.1666666666666856,18.0
2051,,12.666666666666686,5.0,0.5,0.0,4.0,5.0,-19.833333333333314,11.0,-3.0,-8.5,7.5,-10.833333333333314,-0.3333333333333144,8.0,-14.0,-8.0,7.0,-4.0,0.0,3.0,5.0,-2.0,-13.5,-2.8333333333333144,-15.333333333333314
2052,,-4.166666666666686,-4.0,2.8333333333333144,-2.0,8.333333333333314,-18.0,13.0,-13.0,8.333333333333314,0.0,-2.8333333333333144,-1.0,-1.0,7.0,2.5,-0.6666666666666856,-9.0,-4.5,-3.8333333333333144,0.0,0.0,6.333333333333314,4.833333333333314,-7.333333333333314,8.666666666666686
2053,,-5.0,-14.0,3.0,-3.8333333333333144,3.0,2.0,5.0,-8.0,-3.0,10.0,-13.0,14.166666666666686,7.333333333333314,-7.0,-9.0,-12.166666666666686,8.833333333333314,10.5,-8.0,-4.0,-15.5,-2.0,-4.833333333333314,-19.333333333333314,-10.0
2054,,-1.5,0.3333333333333144,-7.0,4.0,-4.0,-5.0,-13.0,8.166666666666686,-12.166666666666686,4.0,-7.5,-2.6666666666666856,-2.0,-22.0,-24.5,7.833333333333314,8.0,-3.0,0.0,8.0,-4.333333333333314,-2.0,9.833333333333314,4.0,2.0
2055,,2.0,-1.0,-3.6666666666666856,-3.0,3.8333333333333144,7.5,-14.833333333333314,10.0,-13.5,-6.0,-8.0,-1.0,-3.0,1.0,-3.0,-9.5,-3.1666666666666856,3.0,2.0,-0.5,1.0,-2.8333333333333144,-13.0,-0.8333333333333144,-8.0
2056,,-3.6666666666666856,-3.0,9.333333333333314,0.0,5.0,11.0,1.0,0.0,-4.0,3.5,-1.0,-5.5,7.166666666666686,-7.333333333333314,-0.3333333333333144,2.0,-7.833333333333314,-3.1666666666666856,-4.0,-11.833333333333314,-12.0,4.0,2.0,10.0,-2.0
2057,,-8.0,-1.0,-1.6666666666666856,-5.666666666666686,10.833333333333314,1.0,-7.166666666666686,-2.0,-9.0,7.333333333333314,-1.8333333333333144,-6.166666666666686,-5.166666666666686,-16.5,-5.166666666666686,3.3333333333333144,-9.666666666666686,12.0,-5.833333333333314,7.0,5.333333333333314,4.0,0.16666666666668561,-5.0,14.0
2058,,4.0,4.0,-5.0,-9.0,-6.666666666666686,-7.333333333333314,-5.833333333333314,-9.0,1.0,-3.8333333333333144,-3.1666666666666856,-9.0,-2.0,-4.0,5.0,-11.333333333333314,-5.5,-11.0,1.6666666666666856,-0.6666666666666856,0.3333333333333144,-12.0,-8.0,2.0,8.5
2059,,-5.0,3.1666666666666856,14.0,-5.833333333333314,-1.0,-4.0,-6.0,11.0,6.0,6.0,-11.0,-13.0,6.5,-1.6666666666666856,1.5,-9.833333333333314,-1.0,1.0,-1.3333333333333144,12.0,10.0,-4.833333333333314,-6.0,-13.0,-13.0
2060,,-3.3333333333333144,-7.0,-4.0,2.0,-4.5,1.0,6.0,-12.0,-3.0,4.5,-14.333333333333314,-11.333333333333314,-8.833333333333314,4.0,-8.333333333333314,-36.833333333333314,-2.5,-1.0,1.0,-4.0,11.0,6.0,2.0,1.0,7.0
2061,,-9.833333333333314,-10.0,-4.5,3.0,-9.0,-7.166666666666686,8.5,-14.333333333333314,-3.0,7.0,-3.3333333333333144,-5.833333333333314,-2.0,2.0,-6.5,1.0,3.5,4.666666666666686,-10.833333333333314,-1.8333333333333144,-7.333333333333314,8.0,-1.0,15.0,-5.0
2062,,-10.0,-6.0,2.0,-15.333333333333314,5.666666666666686,-3.0,13.0,2.0,-4.5,-1.0,-7.0,-9.5,0.16666666666668561,-3.0,-0.16666666666668561,12.0,0.0,-6.5,2.0,-2.0,11.0,0.0,-8.0,-2.5,11.0
